code_insee,prix_appt_m2,nb_ventes_apt,prix_maison_m2,nb_ventes_mai
76001,,,2549,8
76002,,,1890,8
76004,,,1821,9
76005,2109,25.0,2265,47
76006,,,1592,2
76007,,,1961,13
76008,,,8171,23
76009,,,2467,2
76010,,,1720,6
76011,,,2062,9
76012,,,712,6
76013,,,2188,13
76014,1900,1.0,2613,24
76015,,,1654,17
76016,,,2037,2
76017,,,2450,9
76018,,,1849,19
76019,,,2171,16
76020,,,1782,10
76021,,,1990,2
76022,,,2252,6
76023,,,1990,3
76024,,,1728,4
76025,,,1465,6
76026,3231,7.0,1863,29
76028,,,2407,1
76030,,,1881,9
76032,,,2258,5
76033,,,2082,14
76034,2931,7.0,1838,25
76035,2162,2.0,1509,40
76036,,,2085,6
76039,,,2411,27
76040,,,1924,5
76041,,,1630,31
76043,,,1815,7
76045,,,1375,4
76046,,,2000,11
76047,,,1513,4
76048,6192,2.0,1861,6
76049,,,1593,12
76050,,,1397,9
76051,1804,2.0,1637,26
76053,,,2140,8
76054,,,1944,15
76055,1020,1.0,1231,11
76056,,,1920,12
76057,4960,8.0,1921,102
76058,,,1961,8
76059,,,1869,5
76060,,,1649,6
76062,,,1923,4
76063,,,2217,12
76064,,,1565,8
76065,,,1770,12
76067,,,2121,18
76068,,,2400,8
76069,1292,1.0,2644,31
76070,,,1782,8
76071,,,1948,10
76072,,,2483,4
76075,,,1555,11
76077,,,1533,3
76079,,,2640,1
76082,,,2269,17
76084,,,3000,2
76085,,,2015,7
76086,,,1560,3
76087,,,2056,9
76088,,,960,7
76090,,,2326,15
76091,,,1912,8
76092,,,1562,9
76093,,,1910,8
76094,,,1812,6
76095,1717,110.0,3000,57
76096,,,1851,13
76097,,,2238,1
76099,,,1862,22
76100,,,2149,23
76101,1440,1.0,1693,22
76103,2177,60.0,2742,38
76104,,,2582,12
76105,4796,4.0,2166,6
76106,,,2234,7
76107,,,2334,6
76108,2755,95.0,3359,144
76111,,,1571,2
76112,,,1988,9
76113,,,2490,3
76114,3781,38.0,1494,147
76115,,,2149,13
76116,,,2500,41
76117,,,2419,19
76118,,,1093,2
76119,,,2474,2
76120,,,1776,10
76121,,,2756,4
76122,,,1794,8
76123,,,2604,10
76124,,,2236,13
76125,2817,5.0,1875,17
76126,,,1084,4
76128,,,1367,28
76129,,,2115,1
76130,,,1356,13
76131,2237,1.0,2110,5
76132,,,1757,5
76133,,,2020,11
76134,,,1520,1
76135,,,2104,15
76136,,,1763,8
76138,,,1808,6
76139,,,1383,3
76140,,,1479,1
76141,5588,10.0,2500,15
76142,,,1378,6
76143,,,2007,18
76144,,,2123,4
76146,6471,1.0,1960,36
76147,,,1653,10
76148,,,1439,5
76151,,,1955,4
76152,,,1887,12
76153,,,1814,9
76154,,,1859,5
76155,,,1727,12
76156,,,2439,18
76157,1418,44.0,1940,72
76158,,,2015,10
76159,2148,2.0,1673,48
76160,,,2012,10
76161,,,1471,2
76162,,,1429,6
76163,,,2016,13
76164,4360,29.0,2027,43
76165,2571,123.0,1719,76
76166,,,855,5
76167,,,2523,25
76169,,,2250,24
76171,,,1389,2
76172,,,2271,3
76173,,,1325,11
76174,,,901,3
76176,,,1390,3
76177,,,1951,2
76178,1333,1.0,1745,32
76179,6961,5.0,2441,13
76180,,,1090,2
76181,,,2466,4
76183,,,2117,6
76184,,,2312,2
76185,,,2295,5
76186,,,3267,17
76187,,,3156,6
76188,,,2034,2
76189,,,1179,2
76190,,,1000,6
76192,3167,26.0,2375,96
76193,,,2033,6
76194,,,2167,13
76195,,,1386,4
76196,3197,7.0,2329,25
76197,,,1571,1
76198,,,1970,12
76199,,,1027,5
76200,,,2079,10
