code_insee,population,evolution_pop_pct_an,part_cadres_pct,vacance_pct,revenu_median,gini,chomage_pct,taux_pauvrete_pct,tension_locative_pct
76001,1150.0,-0.19,4.2,5.2,24860.0,,8.4,,25.4
76002,607.0,-0.51,3.2,2.5,22420.0,,5.3,,12.4
76004,488.0,-0.0,2.2,3.1,23590.0,,6.8,,19.0
76005,3296.0,0.68,3.1,6.9,22040.0,0.322,11.0,18.0,56.0
76006,184.0,0.86,10.3,4.0,23850.0,,8.5,,18.3
76007,685.0,0.76,6.2,3.2,26310.0,,9.1,,7.7
76008,623.0,-1.28,0.9,7.3,24980.0,,11.1,,18.2
76009,351.0,1.39,1.9,7.0,21560.0,,8.5,,7.8
76010,367.0,-1.3,3.6,2.0,24190.0,,3.8,,9.6
76011,150.0,-3.08,20.8,11.1,23920.0,,8.2,,9.1
76012,183.0,-1.03,6.1,9.4,23750.0,,5.6,,9.2
76013,1083.0,1.49,7.3,7.2,22980.0,,6.9,,17.4
76014,1394.0,-0.49,2.6,4.9,26640.0,,8.3,,21.9
76015,516.0,-0.38,4.5,4.8,23410.0,,10.3,,28.2
76016,127.0,1.74,4.3,12.8,25500.0,,10.8,,25.9
76017,668.0,3.29,1.0,2.0,25500.0,,5.1,,5.9
76018,1476.0,-0.02,2.1,9.6,22530.0,,7.1,,35.5
76019,418.0,-1.05,6.7,3.7,23370.0,,5.4,,6.2
76020,1168.0,-0.5,2.0,2.6,23490.0,,7.9,,13.2
76021,455.0,-1.68,1.3,4.4,24250.0,,6.1,,13.1
76022,328.0,-1.09,3.8,2.9,26390.0,,1.8,,5.9
76023,304.0,0.51,2.0,5.8,22510.0,,4.0,,8.0
76024,155.0,-1.01,0.0,7.0,24580.0,,12.5,,11.6
76025,348.0,0.39,3.7,14.9,19240.0,,14.2,,28.1
76026,2480.0,-1.01,4.7,8.9,20000.0,0.327,13.1,15.0,43.5
76028,182.0,-1.58,3.7,7.8,16740.0,,17.9,,17.5
76029,199.0,-0.57,2.8,7.9,20960.0,,9.6,,13.4
76030,518.0,2.22,0.0,2.4,22390.0,,9.9,,11.9
76032,138.0,1.88,4.8,5.2,23080.0,,3.3,,19.7
76033,453.0,-0.43,1.4,2.7,23930.0,,7.9,,9.4
76034,2526.0,-0.19,4.1,9.3,20850.0,0.312,13.2,14.0,39.8
76035,1974.0,-1.55,2.3,14.7,19500.0,,14.0,,53.6
76036,692.0,-0.89,4.6,6.7,23690.0,,5.5,,8.7
76038,403.0,-0.16,4.3,1.2,26510.0,,4.7,,4.9
76039,1230.0,-0.19,4.5,3.3,33140.0,,5.7,,6.3
76040,320.0,0.0,8.6,2.8,22390.0,,8.6,,22.1
